nombre_ciudad,densidad,ratio_energetico,ratio_cobertura_servicios,contaminacion,contaminacion_acumulada,estabilidad_media,tendencia_estabilidad,tendencia_contaminacion,bienestar,score_viabilidad,ciclos_ejecutados,colapso_detectado,saturacion_detectada,objetivo
Ciudad_0158_colapso_o_critica,0.8422,0.3942,0.7378,0.9035,13.8285,0.3608,-0.3649,0.2937,0.4243,36.43,13,true,true,CRITICO
Ciudad_0836_funcional_estable,0.5456,1.0168,0.8219,0.2832,2.3758,0.658,0.0578,0.0712,0.7604,74.44,7,false,true,FUNCIONAL
Ciudad_0507_saturada_o_inestable,0.6805,0.6556,0.7831,0.6224,3.4843,0.4535,-0.0924,0.0923,0.5164,53.17,5,false,true,INESTABLE
Ciudad_0553_saturada_o_inestable,0.8196,0.5597,0.5561,0.5317,7.5034,0.4374,0.0094,0.0796,0.4233,44.49,13,false,true,INESTABLE
Ciudad_0598_saturada_o_inestable,0.5665,0.6085,0.582,0.5482,3.9915,0.6136,-0.0681,0.0594,0.5896,54.57,7,false,true,INESTABLE
Ciudad_1036_optima,0.2196,1.3077,0.9927,0.1625,1.861,0.8531,0.0989,-0.059,0.8821,90.09,11,false,false,OPTIMO
Ciudad_1138_optima,0.3192,1.3172,1.2,0.2991,3.9466,0.9433,-0.0077,0.0132,0.9618,88.0,13,false,false,OPTIMO
Ciudad_0739_funcional_estable,0.5613,0.9182,0.7416,0.5297,4.924,0.617,-0.015,0.0254,0.5878,65.96,9,false,false,FUNCIONAL
Ciudad_0744_funcional_estable,0.618,1.0096,0.9741,0.2702,2.8077,0.743,-0.0393,0.0444,0.8167,71.13,10,false,false,FUNCIONAL
Ciudad_0929_optima,0.2773,1.1114,1.0714,0.0951,0.5591,0.7917,0.1061,-0.0338,0.9033,88.86,4,false,false,OPTIMO
Ciudad_1151_optima,0.3795,1.085,1.1654,0.2055,1.0565,0.7748,0.0176,-0.0282,0.9574,84.82,5,false,false,OPTIMO
Ciudad_0702_funcional_estable,0.5155,0.884,0.8324,0.369,4.9854,0.658,-0.0485,0.0786,0.6645,71.06,12,false,false,FUNCIONAL
Ciudad_0344_saturada_o_inestable,0.7851,0.5938,0.5613,0.5065,3.4554,0.545,-0.1618,0.1377,0.5344,48.67,6,false,false,INESTABLE
Ciudad_0021_colapso_o_critica,0.9525,0.2661,0.6929,0.7354,5.0999,0.3781,-0.2807,0.1704,0.4315,32.99,6,true,true,CRITICO
Ciudad_0826_funcional_estable,0.4679,0.8525,0.8656,0.4537,4.9269,0.661,0.0233,0.0858,0.7313,70.68,10,false,false,FUNCIONAL
Ciudad_1054_optima,0.2767,1.2528,1.2844,0.0236,0.2914,0.7116,0.1084,-0.0659,0.9436,88.35,11,false,false,OPTIMO
Ciudad_0684_funcional_estable,0.5578,0.8987,0.9094,0.419,5.843,0.7283,-0.0405,0.0176,0.817,72.78,14,false,false,FUNCIONAL
Ciudad_0579_saturada_o_inestable,0.7807,0.6371,0.7057,0.5807,3.5039,0.4364,-0.0253,0.1014,0.499,49.45,6,false,true,INESTABLE
Ciudad_0289_colapso_o_critica,0.8004,0.5186,0.4909,0.7609,11.1932,0.3293,-0.2872,0.2998,0.3533,36.95,12,true,true,CRITICO
Ciudad_1041_optima,0.359,1.1916,0.9864,0.2556,2.8705,0.9082,-0.0051,-0.011,0.9178,86.88,12,false,false,OPTIMO
Ciudad_0583_saturada_o_inestable,0.7676,0.8327,0.6629,0.5153,8.4519,0.6422,-0.1532,0.1611,0.5845,56.63,14,false,true,INESTABLE
Ciudad_0217_colapso_o_critica,0.7277,0.4414,0.4557,0.8348,8.7124,0.4067,-0.1611,0.4448,0.373,36.21,8,true,true,CRITICO
Ciudad_0045_colapso_o_critica,0.789,0.5416,0.3799,0.8939,14.6859,0.1017,-0.1198,0.4281,0.1923,28.98,13,true,true,CRITICO
Ciudad_0474_saturada_o_inestable,0.8526,0.8718,0.8411,0.4609,3.1331,0.5842,-0.0027,0.1993,0.6524,56.94,5,false,true,INESTABLE
Ciudad_0081_colapso_o_critica,0.9545,0.4406,0.2415,1.0,9.4841,0.4187,-0.2276,0.3295,0.2419,25.13,8,true,true,CRITICO
Ciudad_0723_funcional_estable,0.4767,1.0881,0.8147,0.4985,5.3241,0.5522,-0.0059,0.0081,0.6226,70.33,10,false,false,FUNCIONAL
Ciudad_1110_optima,0.3082,1.0191,0.9999,0.2116,1.1371,0.7695,0.0526,-0.0415,0.826,86.05,5,false,false,OPTIMO
Ciudad_0243_colapso_o_critica,0.8661,0.2339,0.4642,0.9309,15.0868,0.3362,-0.3608,0.2372,0.2501,25.57,14,true,true,CRITICO
Ciudad_0253_colapso_o_critica,0.9089,0.2914,0.3938,0.7261,13.6327,0.2755,-0.1226,0.4363,0.3126,26.6,14,true,true,CRITICO
Ciudad_0904_optima,0.2577,1.0317,1.2484,0.1769,0.6285,0.8469,0.0594,-0.0251,0.9916,89.13,5,false,false,OPTIMO
Ciudad_0422_saturada_o_inestable,0.776,0.8386,0.5522,0.6758,7.0315,0.5381,-0.0571,0.1944,0.4803,52.12,9,false,true,INESTABLE
Ciudad_1189_optima,0.4564,1.1997,1.2084,0.2969,2.5261,0.8285,0.0708,-0.069,0.9094,82.99,9,false,false,OPTIMO
Ciudad_0192_colapso_o_critica,0.9545,0.5993,0.3718,0.9531,10.5955,0.4547,-0.3333,0.1946,0.3245,33.13,10,true,true,CRITICO
Ciudad_0200_colapso_o_critica,0.8469,0.2337,0.7525,0.7553,12.5701,0.2219,-0.0927,0.3804,0.366,32.06,13,true,true,CRITICO
Ciudad_0013_colapso_o_critica,0.9318,0.3348,0.243,0.782,5.5567,0.4211,-0.2292,0.3277,0.2989,26.28,6,true,true,CRITICO
Ciudad_0054_colapso_o_critica,0.8241,0.2321,0.408,0.904,13.9766,0.4537,-0.2893,0.1686,0.3685,27.99,14,true,false,CRITICO
Ciudad_0626_funcional_estable,0.4151,0.8522,0.7577,0.4508,4.6933,0.6654,-0.0038,0.024,0.6775,69.7,10,false,false,FUNCIONAL
Ciudad_0648_funcional_estable,0.6475,0.8028,0.7313,0.4649,5.3298,0.6487,0.0077,0.0154,0.6747,62.75,11,false,false,FUNCIONAL
Ciudad_0946_optima,0.1165,1.306,1.132,0.2418,1.8383,0.7678,0.0593,-0.0118,0.8302,89.4,8,false,false,OPTIMO
Ciudad_0622_funcional_estable,0.5265,1.0009,0.8487,0.5097,7.4831,0.73,0.0443,0.0561,0.7119,73.4,14,false,false,FUNCIONAL
Ciudad_0302_saturada_o_inestable,0.7848,0.888,0.7802,0.521,4.9515,0.4606,-0.06,0.0646,0.5504,50.8,9,false,true,INESTABLE
Ciudad_0664_funcional_estable,0.607,1.0486,1.0072,0.3871,2.4281,0.7323,-0.0069,-0.0046,0.8032,68.14,7,false,true,FUNCIONAL
Ciudad_1133_optima,0.174,1.1078,1.1852,0.1763,0.8311,0.9168,0.0183,-0.0656,0.9473,92.21,5,false,false,OPTIMO
Ciudad_0152_colapso_o_critica,0.7523,0.3196,0.3778,0.8915,9.6961,0.3682,-0.1752,0.3227,0.3432,29.49,9,true,true,CRITICO
Ciudad_1026_optima,0.2025,1.182,1.0763,0.0455,0.7973,0.9296,0.0758,-0.0098,0.9722,93.86,14,false,false,OPTIMO
Ciudad_0419_saturada_o_inestable,0.7649,0.8815,0.8015,0.6644,8.5362,0.4506,-0.0538,0.1862,0.5129,56.82,11,false,true,INESTABLE
Ciudad_0539_saturada_o_inestable,0.5847,0.7767,0.6604,0.6291,6.4575,0.6301,-0.1468,0.1566,0.541,52.26,9,false,true,INESTABLE
Ciudad_0670_funcional_estable,0.5961,0.8461,0.993,0.5363,4.7861,0.7579,-0.0496,0.0886,0.7297,71.2,8,false,false,FUNCIONAL
Ciudad_0508_saturada_o_inestable,0.6049,0.8625,0.7579,0.547,4.4468,0.442,-0.1489,0.1639,0.496,58,7,false,true,INESTABLE
Ciudad_0018_colapso_o_critica,0.7432,0.5689,0.2636,0.8938,7.7234,0.2968,-0.3674,0.4319,0.2171,32.16,7,true,false,CRITICO
Ciudad_0300_colapso_o_critica,0.7974,0.2851,0.6292,0.6956,8.8467,0.1765,-0.0824,0.1917,0.3704,31.86,11,true,true,CRITICO
Ciudad_0632_funcional_estable,0.4352,1.0053,0.8418,0.5134,7.6211,0.7645,0.027,0.0733,0.7313,75.72,14,false,false,FUNCIONAL
Ciudad_0462_saturada_o_inestable,0.8827,0.5759,0.8768,0.6746,6.6864,0.4647,-0.048,0.099,0.6051,48.46,9,false,true,INESTABLE
Ciudad_1070_optima,0.3357,1.0754,1.164,0.2476,1.9478,0.8225,-0.0133,-0.0011,0.9125,86.02,8,false,false,OPTIMO
Ciudad_0737_funcional_estable,0.4829,0.7859,0.9834,0.3948,2.2072,0.7303,-0.0501,-0.0079,0.7769,73.34,6,false,false,FUNCIONAL
Ciudad_0779_funcional_estable,0.6146,0.9887,0.9938,0.348,3.3175,0.724,-0.0018,0.0401,0.8017,68.85,9,false,false,FUNCIONAL
Ciudad_0298_colapso_o_critica,0.8522,0.3484,0.7184,0.8888,7.5656,0.3104,-0.2385,0.3786,0.4104,33.91,7,false,true,CRITICO
Ciudad_0667_funcional_estable,0.5626,0.9092,0.9108,0.3187,2.5194,0.7227,0.0564,-0.0096,0.759,74.37,8,false,true,FUNCIONAL
Ciudad_0304_saturada_o_inestable,0.7044,0.6424,0.8183,0.721,4.5501,0.5484,-0.0507,0.0555,0.5392,53.49,6,false,true,INESTABLE
Ciudad_0910_optima,0.3832,1.0251,1.1951,0.0501,0.8054,0.9107,0.1093,-0.0137,1,89.8,14,false,false,OPTIMO
Ciudad_0573_saturada_o_inestable,0.8282,0.8576,0.83,0.4763,2.1791,0.5189,-0.0056,0.1264,0.5841,50.69,4,false,true,INESTABLE
Ciudad_0955_optima,0.3561,1.3489,0.9575,0.079,0.5164,0.8274,0.0911,0.0087,0.9034,87.39,5,false,false,OPTIMO
Ciudad_0359_saturada_o_inestable,0.8307,0.8395,0.6028,0.6588,7.5969,0.4398,-0.0737,0.0511,0.4821,50.34,11,false,true,INESTABLE
Ciudad_0897_funcional_estable,0.4149,0.9856,0.8332,0.3067,3.1774,0.6382,-0.012,-0.0048,0.7071,70.12,10,false,false,FUNCIONAL
